questionID,course.x,exam_type,creation_dt,creation_time,creation_dt_time.x,examID.x,weekday,marked,minutes_used,correct,q_ordinal,a_ordinal,difficulty,section_minor,section_major,nth_exam,nth_e_or_q,total_exam_time,num_questions,total_correct,exceed_time_limit,EL_begin,EL_change,EL_end,examID,course,creation_dt_time,hrs_since_previous,hrs_since_previous_e
2017-11-21 18:59:20.5074527 +00:00044.21,MFE,q,2017-11-21,18H 48M 20S,2017-11-21T18:59:20Z,MFE2017-11-21 18:59:20,Tuesday,0,0,NA,4,NA,4.21,True probabilities and rates of return|True Probabilities and Rates of Return|True Probabilities and Rates of Return|True Probabilities and Rates of Return,Binomial Trees,67,78,19.566666666666666,4,NA,FALSE,5.38,1.36,6.26,MFE2017-11-21 18:59:20,MFE,2017-11-21T18:59:20Z,18.9676106747654,NA
2017-11-21 18:59:20.5074527 +00:0027624.69,MFE,q,2017-11-21,18H 48M 20S,2017-11-21T18:59:20Z,MFE2017-11-21 18:59:20,Tuesday,0,4.6,1,2,2,4.69,Option Pricing,Binomial Trees,67,78,19.566666666666666,4,NA,FALSE,5.38,1.36,6.26,MFE2017-11-21 18:59:20,MFE,2017-11-21T18:59:20Z,18.9676106747654,NA
2017-11-21 18:59:20.5074527 +00:0039634.11,MFE,q,2017-11-21,18H 48M 20S,2017-11-21T18:59:20Z,MFE2017-11-21 18:59:20,Tuesday,0,6.6,1,3,4,4.11,Option Pricing,Binomial Trees,67,78,19.566666666666666,4,NA,FALSE,5.38,1.36,6.26,MFE2017-11-21 18:59:20,MFE,2017-11-21T18:59:20Z,18.9676106747654,NA
2017-11-21 18:59:20.5074527 +00:0050213.87,MFE,q,2017-11-21,18H 48M 20S,2017-11-21T18:59:20Z,MFE2017-11-21 18:59:20,Tuesday,0,8.366666666666667,1,1,4,3.87,Option Pricing,Binomial Trees,67,78,19.566666666666666,4,NA,FALSE,5.38,1.36,6.26,MFE2017-11-21 18:59:20,MFE,2017-11-21T18:59:20Z,18.9676106747654,NA
2017-11-21 00:01:17.1090237 +00:0012686.6,MFE,q,2017-11-21,18H 48M 17S,2017-11-21T00:01:17Z,MFE2017-11-21 00:01:17,Tuesday,0,2.1,1,8,5,6.6,Put-Call Parity|Synthetic Forwards & Put-Call Parity,Put-Call Parity|Option Strategies and Risk Management,66,77,69.25,10,15,FALSE,5.38,1.36,6.26,MFE2017-11-21 00:01:17,MFE,2017-11-21T00:01:17Z,0.871103093359205,NA
2017-11-21 00:01:17.1090237 +00:0015427.71,MFE,q,2017-11-21,18H 48M 17S,2017-11-21T00:01:17Z,MFE2017-11-21 00:01:17,Tuesday,0,2.566666666666667,0,2,1,7.71,Intro to Derivatives|Derivatives Basics,Derivatives Basics|Introduction to Derivatives,66,77,69.25,10,15,FALSE,5.38,1.36,6.26,MFE2017-11-21 00:01:17,MFE,2017-11-21T00:01:17Z,0.871103093359205,NA
2017-11-21 00:01:17.1090237 +00:0018046.14,MFE,q,2017-11-21,18H 48M 17S,2017-11-21T00:01:17Z,MFE2017-11-21 00:01:17,Tuesday,0,3,1,4,4,6.14,Forwards: Basics,Introduction to Forwards and Options,66,77,69.25,10,15,FALSE,5.38,1.36,6.26,MFE2017-11-21 00:01:17,MFE,2017-11-21T00:01:17Z,0.871103093359205,NA
2017-11-21 00:01:17.1090237 +00:00221664.41,MFE,q,2017-11-21,18H 48M 17S,2017-11-21T00:01:17Z,MFE2017-11-21 00:01:17,Tuesday,0,36.93333333333333,0,6,5,4.41,Option Basics|Options: Basics,Options|Introduction to Forwards and Options,66,77,69.25,10,15,FALSE,5.38,1.36,6.26,MFE2017-11-21 00:01:17,MFE,2017-11-21T00:01:17Z,0.871103093359205,NA
2017-11-21 00:01:17.1090237 +00:0025935.55,MFE,q,2017-11-21,18H 48M 17S,2017-11-21T00:01:17Z,MFE2017-11-21 00:01:17,Tuesday,0,4.316666666666666,0,3,2,5.55,Basic Insurance Strategies|Insurance Strategies,Option Strategies and Risk Management|Insurance and Hedging,66,77,69.25,10,15,FALSE,5.38,1.36,6.26,MFE2017-11-21 00:01:17,MFE,2017-11-21T00:01:17Z,0.871103093359205,NA
2017-11-21 00:01:17.1090237 +00:0028994.91,MFE,q,2017-11-21,18H 48M 17S,2017-11-21T00:01:17Z,MFE2017-11-21 00:01:17,Tuesday,0,4.816666666666666,0,9,5,4.91,Options: Basics|Option Basics,Introduction to Forwards and Options|Options,66,77,69.25,10,15,FALSE,5.38,1.36,6.26,MFE2017-11-21 00:01:17,MFE,2017-11-21T00:01:17Z,0.871103093359205,NA
